date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,37.777419354838706,843.9000000000002,0.0,31,3.58,20,0,0.0,0,10,18.20967741935484,70.31612903225808,-2.1454838709677446
2000-02-01,40.88275862068965,699.4,0.0,29,1.8900000000000001,12,0,0.0,0,11,13.682758620689656,58.99655172413794,0.34368842364531815
2000-03-01,43.16451612903226,676.9000000000002,0.0,31,2.8,18,0,0.0,0,6,13.974193548387097,64.75483870967743,-1.3900000000000006
2000-04-01,49.013333333333335,479.6,0.0,30,2.56,12,0,0.0,0,1,14.303333333333335,48.92666666666666,0.0626666666666722
2000-05-01,51.774193548387096,410.0,0.0,31,4.45,17,0,0.0,0,0,13.970967741935485,62.79354838709677,-2.75
2000-06-01,58.0,214.89999999999998,4.900000000000006,30,2.4,12,0,0.0,0,0,13.860000000000001,47.11666666666667,-1.0316666666666592
2000-07-01,61.10322580645161,124.2,3.3999999999999915,31,1.51,6,0,0.0,0,0,13.45483870967742,44.74193548387097,-1.9837096774193554
2000-08-01,59.89032258064516,159.0,0.5999999999999943,31,1.02,4,0,0.0,0,0,12.951612903225806,36.622580645161285,-3.0372580645161236
2000-09-01,56.74666666666667,248.5,0.9000000000000057,30,2.55,14,0,0.0,0,0,12.46,44.1,-1.1441666666666634
2000-10-01,50.03225806451613,464.00000000000006,0.0,31,0.65,6,0,0.0,0,0,12.816129032258065,52.68387096774194,-0.6000000000000014
2000-11-01,40.61333333333334,731.6000000000001,0.0,30,1.99,7,0,0.0,0,13,12.376666666666667,52.60333333333333,-3.414833333333327
2000-12-01,37.10967741935484,864.5999999999999,0.0,31,2.7500000000000004,14,0,0.0,0,15,12.922580645161291,59.34193548387096,-2.181935483870973
2001-01-01,39.880645161290325,778.7000000000002,0.0,31,3.44,16,0,0.0,0,12,13.861290322580645,56.067741935483866,-0.042258064516126126
2001-02-01,37.857142857142854,760.0,0.0,28,1.23,11,0,0.0,0,17,14.989285714285714,50.917857142857144,-2.6819273399014776
2001-03-01,44.37419354838709,639.3999999999999,0.0,31,3.85,13,0,0.0,0,5,15.861290322580645,62.67741935483871,-0.18032258064516782
2001-04-01,47.519999999999996,524.4000000000001,0.0,30,2.14,15,0,0.0,0,5,15.943333333333333,54.71333333333334,-1.4306666666666672
2001-05-01,53.08064516129032,369.49999999999994,0.0,31,1.3,9,0,0.0,0,0,13.35483870967742,43.37096774193548,-1.4435483870967758
2001-06-01,55.97,270.90000000000003,0.0,30,2.25,10,0,0.0,0,0,13.213333333333335,53.059999999999995,-3.0616666666666603
2001-07-01,60.10967741935484,152.99999999999997,1.4000000000000057,31,0.03,1,0,0.0,0,0,14.138709677419355,38.148387096774194,-2.9772580645161284
2001-08-01,61.55483870967742,112.5,5.699999999999989,31,2.69,6,0,0.0,0,0,13.187096774193549,49.71612903225807,-1.372741935483866
2001-09-01,56.626666666666665,251.20000000000002,0.0,30,1.25,6,0,0.0,0,0,10.753333333333334,43.916666666666664,-1.264166666666668
2001-10-01,48.725806451612904,504.4999999999999,0.0,31,4.78,17,0,0.0,0,0,14.832258064516129,62.52258064516129,-1.9064516129032256
2001-11-01,45.586666666666666,582.4,0.0,30,4.14,16,0,0.0,0,0,16.803333333333335,69.72666666666667,1.5585000000000022
2001-12-01,38.99354838709677,806.2,0.0,31,4.98,17,1,0.0,0,10,18.387096774193548,66.70322580645161,-0.2980645161290383
2002-01-01,39.47741935483871,791.2,0.0,31,5.34,20,0,0.0,0,8,17.041935483870965,83.38387096774194,-0.4454838709677418
2002-02-01,39.81785714285714,705.1000000000001,0.0,28,3.64,13,2,0.0,0,12,16.764285714285712,56.67857142857143,-0.7212130541871886
2002-03-01,38.693548387096776,815.5000000000001,0.0,31,1.98,12,0,0.0,0,16,18.5258064516129,66.28064516129032,-5.860967741935482
2002-04-01,47.35,529.5000000000001,0.0,30,2.2600000000000002,11,0,0.0,0,3,14.57,55.40333333333333,-1.6006666666666618
2002-05-01,51.39032258064516,421.90000000000003,0.0,31,1.9,17,0,0.0,0,0,12.593548387096773,58.70967741935484,-3.1338709677419345
2002-06-01,59.230000000000004,179.4,6.300000000000011,30,1.14,5,0,0.0,0,0,13.44,41.78666666666666,0.1983333333333448
2002-07-01,61.55483870967742,118.69999999999999,11.900000000000006,31,0.33,2,0,0.0,0,0,13.670967741935485,33.306451612903224,-1.5320967741935476
2002-08-01,61.76774193548387,111.10000000000001,10.899999999999991,31,0.06,1,0,0.0,0,0,12.100000000000001,29.52258064516129,-1.159838709677416
2002-09-01,56.28,261.6,0.0,30,1.06,8,0,0.0,0,0,11.403333333333334,40.14666666666667,-1.610833333333332
2002-10-01,47.622580645161285,538.7,0.0,31,1.07,8,0,0.0,0,2,9.525806451612903,57.90967741935484,-3.009677419354844
2002-11-01,45.25,592.5,0.0,30,3.31,14,1,0.0,0,10,13.313333333333333,56.02333333333333,1.2218333333333362
2002-12-01,41.42903225806452,730.7,0.0,31,4.3,18,0,0.0,0,9,16.096774193548388,69.94516129032259,2.1374193548387055
2003-01-01,43.516129032258064,666.0,0.0,31,4.01,16,0,0.0,0,6,16.4,62.041935483870965,3.5932258064516134
