date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,43.10322580645161,678.7999999999998,0.0,31,1.12,8,0,0.0,0,1,20.23225806451613,82.96451612903226,1.4501612903225833
2000-02-01,45.4896551724138,565.8,0.0,29,0.99,9,0,0.0,0,3,15.200000000000001,80.14137931034483,3.7065270935960584
2000-03-01,47.66451612903226,537.4000000000001,0.0,31,2.2199999999999998,11,1,0.0,0,0,18.106451612903225,83.86129032258064,2.3014516129032287
2000-04-01,50.88333333333333,423.5,0.0,30,1.18,7,0,0.0,0,0,14.723333333333333,77.8,2.073833333333333
2000-05-01,53.935483870967744,343.0,0.0,31,1.47,14,0,0.0,0,0,13.59032258064516,85.73548387096774,0.5379032258064527
2000-06-01,58.49666666666667,195.8,0.7000000000000028,30,1.0,9,0,0.0,0,0,14.213333333333333,73.69666666666667,1.232666666666674
2000-07-01,59.70322580645161,164.20000000000002,0.0,31,0.5800000000000001,4,0,0.0,0,0,12.916129032258066,69.8483870967742,-0.7369354838709654
2000-08-01,59.858064516129026,159.40000000000003,0.0,31,0.75,5,0,0.0,0,0,10.170967741935485,61.04838709677419,-0.7091935483870984
2000-09-01,56.72,248.4,0.0,30,1.01,8,0,0.0,0,0,12.2,65.02,-0.6716666666666669
2000-10-01,51.78709677419355,409.59999999999997,0.0,31,0.5,6,0,0.0,0,0,14.729032258064517,74.71290322580644,0.7782258064516157
2000-11-01,42.96666666666667,660.9999999999999,0.0,30,0.84,4,0,0.0,0,8,13.943333333333333,81.03,-1.8703333333333347
2000-12-01,41.148387096774194,739.3999999999999,0.0,31,0.88,8,0,0.0,0,5,13.803225806451612,86.94193548387096,0.44221935483870567
2001-01-01,42.71935483870968,690.6999999999999,0.0,31,1.03,12,0,0.0,0,5,15.16451612903226,80.88064516129033,1.0662903225806488
2001-02-01,40.48571428571428,686.4000000000001,0.0,28,0.21,5,0,1.97,0,9,14.453571428571427,72.75357142857142,-1.297413793103459
2001-03-01,44.83870967741935,624.9999999999999,0.0,31,1.54,13,0,0.0,0,1,17.64516129032258,81.3483870967742,-0.5243548387096766
2001-04-01,47.04333333333333,538.7,0.0,30,1.59,10,0,0.0,0,0,17.06,85.93,-1.7661666666666704
2001-05-01,50.690322580645166,443.6,0.0,31,0.67,8,0,0.0,0,0,15.629032258064516,80.91935483870968,-2.7072580645161253
2001-06-01,53.480000000000004,345.59999999999997,0.0,30,1.8599999999999999,13,0,0.0,0,0,14.496666666666666,81.29333333333334,-3.783999999999992
2001-07-01,55.729032258064514,287.4,0.0,31,0.41000000000000003,4,0,0.0,0,0,13.312903225806451,68.26774193548388,-4.711129032258064
2001-08-01,57.81612903225806,222.7,0.0,31,0.5700000000000001,4,0,0.0,0,0,12.970967741935485,68.56774193548387,-2.7511290322580635
2001-09-01,54.7,309.0,0.0,30,0.4,2,0,0.0,0,0,12.176666666666668,64.15,-2.691666666666663
2001-10-01,48.89032258064516,499.40000000000003,0.0,31,2.38,16,0,0.0,0,0,18.503225806451614,79.39032258064516,-2.118548387096773
2001-11-01,46.49333333333333,555.2,0.0,30,1.69,13,0,0.0,0,0,19.563333333333333,85.65666666666667,1.656333333333329
2001-12-01,41.07096774193548,741.8000000000001,0.0,31,1.72,13,0,0.0,0,6,21.94516129032258,73.3225806451613,0.36479999999999535
2002-01-01,41.66451612903226,723.4000000000001,0.0,31,1.8,18,0,1.18,0,4,20.106451612903225,90.00967741935484,0.011451612903229602
2002-02-01,41.775,650.3000000000001,0.0,28,1.17,8,0,0.0,0,8,17.967857142857145,78.61071428571428,-0.008128078817740914
2002-03-01,40.34193548387096,764.4,0.0,31,1.5000000000000002,10,0,3.15,0,11,17.503225806451614,85.8741935483871,-5.021129032258067
2002-04-01,47.223333333333336,533.3000000000001,0.0,30,1.0,11,0,0.0,0,0,18.35666666666667,76.14333333333335,-1.5861666666666636
2002-05-01,49.99032258064516,465.2999999999999,0.0,31,0.92,11,0,0.0,0,0,15.480645161290322,82.98064516129033,-3.407258064516128
2002-06-01,55.5,285.0,0.0,30,1.96,7,0,0.0,0,0,14.446666666666665,68.54666666666667,-1.7639999999999958
2002-07-01,57.093548387096774,245.09999999999997,0.0,31,0.51,5,0,0.0,0,0,12.325806451612904,66.6774193548387,-3.346612903225804
2002-08-01,56.78387096774193,254.70000000000002,0.0,31,0.23,2,0,0.0,0,0,11.2,58.23225806451613,-3.7833870967741916
2002-09-01,54.666666666666664,309.99999999999994,0.0,30,0.9400000000000001,6,0,0.0,0,0,11.85,59.54333333333333,-2.7250000000000014
2002-10-01,47.541935483870965,541.2,0.0,31,0.66,5,0,0.0,0,2,9.974193548387097,62.24193548387097,-3.4669354838709694
2002-11-01,45.99333333333333,570.1999999999999,0.0,30,0.78,11,0,0.0,0,6,16.526666666666667,69.86999999999999,1.156333333333329
2002-12-01,43.019354838709674,681.4000000000002,0.0,31,1.24,6,0,0.0,0,3,19.741935483870968,87.51612903225806,2.313187096774186
2003-01-01,44.53225806451613,634.4999999999999,0.0,31,0.0,0,0,0.0,0,3,17.403225806451612,0.0,2.8791935483871
2003-02-01,41.246428571428574,665.1,0.0,28,0.0,0,0,0.0,0,12,13.132142857142856,0.8928571428571429,-0.5366995073891658
2003-03-01,46.49354838709677,573.7,0.0,31,0.7100000000000001,9,0,0.0,0,0,21.74516129032258,88.4,1.130483870967744
2003-04-01,47.99333333333333,510.2,0.0,30,2.0,13,0,0.0,0,0,19.386666666666667,89.42333333333333,-0.8161666666666676
2003-05-01,51.49032258064516,418.8,0.0,31,0.6900000000000001,8,0,0.0,0,0,14.525806451612903,82.18709677419355,-1.9072580645161281
2003-06-01,56.480000000000004,255.80000000000004,0.20000000000000284,30,0.0,0,0,0.0,0,0,14.523333333333333,67.60666666666667,-0.7839999999999918
2003-07-01,58.487096774193546,201.90000000000006,0.0,31,0.05,1,0,0.0,0,0,12.803225806451614,53.067741935483866,-1.9530645161290323
2003-08-01,57.648387096774194,227.89999999999998,0.0,31,0.24000000000000002,2,0,0.0,0,0,11.390322580645162,62.61612903225806,-2.918870967741931
2003-09-01,56.1,267.0,0.0,30,0.46,8,0,0.0,0,0,11.91,64.30333333333333,-1.2916666666666643
2003-10-01,52.70645161290323,381.1000000000001,0.0,31,2.79,10,0,0.0,0,1,19.35483870967742,85.90967741935484,1.6975806451612954
2003-11-01,41.11333333333334,716.6,0.0,30,3.21,10,0,0.0,0,11,19.336666666666666,72.77666666666667,-3.7236666666666665
2003-12-01,41.83548387096774,718.0999999999999,0.0,31,1.28,12,0,0.0,0,3,21.6,85.85806451612903,1.1293161290322544
2004-01-01,41.29032258064516,735.0000000000001,0.0,31,1.98,16,0,0.0,0,4,18.812903225806455,91.58709677419354,-0.3627419354838679
2004-02-01,43.665517241379305,618.6999999999999,0.0,29,0.55,7,0,0.0,0,3,17.093103448275862,77.8896551724138,1.8823891625615659
2004-03-01,46.44516129032258,575.1999999999999,0.0,31,1.74,13,0,0.0,0,0,18.364516129032257,86.16774193548386,1.0820967741935519
2004-04-01,49.526666666666664,464.2,0.0,30,0.08,2,0,0.0,0,1,16.029999999999998,62.17333333333333,0.7171666666666638
2004-05-01,52.94193548387097,373.8,0.0,31,2.51,12,0,0.0,0,0,12.193548387096774,79.03870967741935,-0.4556451612903203
2004-06-01,57.86,215.4,1.2000000000000028,30,0.96,6,0,0.0,0,0,11.236666666666668,52.986666666666665,0.5960000000000036
2004-07-01,61.04838709677419,129.0,6.499999999999986,31,0.44,1,0,0.0,0,0,11.367741935483872,50.36129032258064,0.608225806451614
2004-08-01,60.0516129032258,153.39999999999998,0.0,31,4.17,6,2,0.0,0,0,12.36774193548387,71.59032258064516,-0.5156451612903226
2004-09-01,54.95333333333333,301.4,0.0,30,1.54,11,0,0.0,0,0,11.646666666666667,75.25666666666666,-2.4383333333333326
2004-10-01,50.76129032258064,441.4,0.0,31,3.9899999999999998,11,1,0.0,0,0,12.829032258064515,69.73870967741935,-0.24758064516129252
2004-11-01,44.14333333333333,625.7000000000002,0.0,30,2.79,14,0,0.0,0,2,12.66,76.52666666666667,-0.6936666666666724
2004-12-01,42.004,574.9,0.0,25,1.8499999999999999,11,0,0.0,0,1,16.192,84.648,1.2978322580645099
2005-01-01,40.693548387096776,753.5,0.0,31,3.23,16,0,1.18,0,12,14.567741935483872,73.91935483870968,-0.9595161290322523
2005-02-01,39.478571428571435,714.6,0.0,28,1.74,7,0,0.0,0,17,12.089285714285714,52.971428571428575,-2.3045566502463046
2005-03-01,47.019354838709674,557.4,0.0,31,2.37,14,0,0.0,0,0,17.187096774193545,77.75161290322582,1.6562903225806451
2005-04-01,49.12,476.40000000000003,0.0,30,1.6300000000000001,11,0,0.0,0,0,13.47,58.626666666666665,0.31049999999999756
2005-05-01,55.8,287.00000000000006,1.7999999999999972,31,1.19,10,0,0.0,0,0,11.687096774193549,64.53548387096774,2.402419354838706
2005-06-01,56.81333333333334,245.60000000000002,0.0,30,1.4900000000000002,8,0,0.0,0,0,10.093333333333334,74.95333333333333,-0.4506666666666561
2005-07-01,61.50967741935484,112.60000000000001,4.400000000000006,31,0.07,2,0,0.0,0,0,10.432258064516128,40.25483870967742,1.0695161290322588
2005-08-01,62.567741935483866,79.19999999999999,3.799999999999997,31,1.6400000000000001,4,1,0.0,0,0,9.654838709677419,39.39354838709678,2.0004838709677415
2005-09-01,56.89666666666667,243.09999999999994,0.0,30,0.62,6,0,0.0,0,0,9.756666666666666,50.54666666666667,-0.49499999999999744
2005-10-01,52.91290322580645,374.7000000000001,0.0,31,1.74,16,0,0.0,0,0,11.48709677419355,72.79677419354839,1.9040322580645181
2005-11-01,42.32333333333334,680.3,0.0,30,2.6,12,0,0.0,0,2,11.846666666666666,77.72333333333333,-2.5136666666666656
2005-12-01,40.593548387096774,756.5999999999999,0.0,31,2.6,13,0,0.0,0,14,11.183870967741935,64.95161290322581,-0.11261935483871355
2006-01-01,45.09032258064516,617.2,0.0,31,5.5200000000000005,23,0,0.0,0,0,19.451612903225808,88.26774193548388,3.4372580645161293
2006-02-01,40.67857142857143,681.0000000000001,0.0,28,3.8200000000000003,11,1,0.0,0,7,14.392857142857142,63.36785714285714,-1.104556650246309
2006-03-01,44.78064516129032,626.8000000000002,0.0,31,2.16,10,0,0.0,0,2,16.219354838709677,68.35806451612903,-0.5824193548387058
2006-04-01,47.833333333333336,515.0,0.0,30,3.13,13,0,0.0,0,0,14.06,70.60666666666665,-0.9761666666666642
2006-05-01,52.39354838709678,390.8,0.0,31,2.43,13,0,0.0,0,0,11.529032258064515,59.358064516129026,-1.0040322580645125
2006-06-01,57.63666666666666,221.5,0.5999999999999943,30,1.43,10,0,0.0,0,0,9.99,58.22666666666667,0.37266666666666737
2006-07-01,58.487096774193546,210.60000000000008,8.700000000000003,31,0.38,2,0,0.0,0,0,11.274193548387096,63.40967741935484,-1.9530645161290323
2006-08-01,57.78387096774193,223.70000000000005,0.0,31,0.16,3,0,0.0,0,0,10.125806451612902,42.94516129032258,-2.7833870967741916
2006-09-01,55.876666666666665,273.70000000000005,0.0,30,3.0,7,1,0.0,0,0,9.646666666666667,47.906666666666666,-1.5150000000000006
2006-10-01,48.774193548387096,503.0,0.0,31,2.67,11,0,0.0,0,2,9.574193548387097,56.487096774193546,-2.2346774193548384
2006-11-01,43.95,631.5,0.0,30,8.44,19,2,0.0,0,5,19.626666666666665,84.78999999999999,-0.8870000000000005
2006-12-01,41.07096774193548,741.8000000000001,0.0,31,1.28,12,0,0.0,0,3,16.651612903225807,68.74193548387096,0.36479999999999535
2007-01-01,38.37419354838709,825.3999999999999,0.0,31,4.99,15,1,0.0,0,11,14.8,61.78064516129032,-3.2788709677419376
2007-02-01,43.417857142857144,604.3,0.0,28,2.3400000000000003,19,0,0.0,0,4,13.889285714285714,72.68571428571428,1.634729064039405
2007-03-01,46.97096774193548,558.9,0.0,31,3.29,20,0,0.0,0,1,15.451612903225806,75.49677419354839,1.607903225806453
2007-04-01,48.656666666666666,490.29999999999995,0.0,30,1.06,13,0,0.0,0,0,13.526666666666667,63.74333333333333,-0.1528333333333336
2007-05-01,52.277419354838706,394.40000000000003,0.0,31,1.1,6,0,0.0,0,0,11.654838709677419,49.29677419354839,-1.120161290322585
2007-06-01,55.74333333333333,277.70000000000005,0.0,30,1.9400000000000002,11,0,0.0,0,0,10.376666666666667,64.55666666666667,-1.5206666666666635
2007-07-01,61.52258064516129,120.39999999999999,12.599999999999994,31,1.8,8,0,0.0,0,0,10.85483870967742,43.26774193548387,1.0824193548387129
2007-08-01,59.49677419354839,170.60000000000002,0.0,31,0.47,4,0,0.0,0,0,9.919354838709678,49.906451612903226,-1.0704838709677347
2007-09-01,54.99,300.3,0.0,30,1.28,11,0,0.0,0,0,10.19,55.34666666666667,-2.4016666666666637
2007-10-01,49.76129032258064,472.40000000000003,0.0,31,2.58,20,0,0.0,0,0,14.629032258064516,66.24193548387096,-1.2475806451612925
2007-11-01,43.54666666666667,643.6,0.0,30,2.03,16,0,0.0,0,6,14.663333333333332,61.14333333333333,-1.2903333333333364
2007-12-01,40.906451612903226,746.8999999999999,0.0,31,2.31,19,0,0.0,0,6,21.654838709677417,78.8225806451613,0.2002838709677377
2008-01-01,38.60322580645161,818.3000000000001,0.0,31,1.6300000000000001,17,0,0.0,0,8,15.506451612903225,36.480645161290326,-3.0498387096774167
2008-02-01,41.90689655172414,669.7,0.0,29,1.87,12,0,0.0,0,2,12.586206896551724,38.26896551724138,0.12376847290639859
2008-03-01,42.487096774193546,697.8999999999999,0.0,31,2.79,21,0,0.0,0,1,13.229032258064517,42.59032258064516,-2.875967741935483
2008-04-01,44.92333333333333,602.3000000000001,0.0,30,1.73,10,0,0.0,0,3,11.436666666666666,36.78,-3.886166666666668
2008-05-01,52.38709677419355,391.70000000000005,0.7000000000000028,31,1.6199999999999999,11,0,0.0,0,0,10.46774193548387,36.190322580645166,-1.0104838709677395
2008-06-01,54.333333333333336,322.20000000000005,2.200000000000003,30,2.29,9,0,0.0,0,0,10.603333333333333,34.086666666666666,-2.93066666666666
