date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,38.248387096774195,829.3,0.0,31,9.92,25,0,1.18,0,11,12.861290322580645,77.16129032258064,-1.6562903225806451
2000-02-01,41.851724137931036,671.3000000000001,0.0,29,9.28,20,2,0.0,0,11,10.520689655172415,75.73793103448276,1.2849938423645355
2000-03-01,43.83548387096774,656.1000000000001,0.0,31,7.23,22,0,0.0,0,7,12.693548387096774,76.87741935483871,-0.6283870967741905
2000-04-01,50.46,436.19999999999993,0.0,30,3.67,14,0,0.0,0,2,12.236666666666668,69.19666666666667,1.8526666666666713
2000-05-01,54.18064516129032,335.40000000000003,0.0,31,4.86,20,1,0.0,0,0,12.51290322580645,79.34516129032258,-0.8712903225806414
2000-06-01,61.086666666666666,145.90000000000003,28.5,30,3.27,9,0,0.0,1,0,11.25,65.64,1.0193333333333356
2000-07-01,64.38064516129032,58.49999999999999,39.300000000000026,31,0.61,3,0,0.0,0,0,11.290322580645162,60.26774193548387,-0.8195161290322659
2000-08-01,63.24516129032258,74.7,20.30000000000001,31,0.76,3,0,0.0,0,0,10.764516129032257,48.08387096774193,-1.8038709677419362
2000-09-01,59.473333333333336,175.09999999999997,9.299999999999997,30,2.77,11,0,0.0,0,1,10.843333333333334,58.166666666666664,0.07516666666666794
2000-10-01,51.538709677419355,417.30000000000007,0.0,31,6.27,15,1,0.0,0,0,9.780645161290321,67.40322580645162,0.6687096774193577
2000-11-01,40.480000000000004,735.6,0.0,30,5.48,12,1,0.0,0,15,8.783333333333333,68.2,-2.978833333333327
2000-12-01,39.729032258064514,783.4,0.0,31,5.51,22,1,0.0,0,11,10.661290322580646,77.22258064516129,0.654677419354833
2001-01-01,39.803225806451614,781.1,0.0,31,4.7,20,0,0.0,0,12,10.006451612903225,73.64838709677419,-0.10145161290322591
