date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,20.706451612903226,1373.1,0.0,31,0.15,5,0,0.0,0,29,16.25483870967742,42.251612903225805,0.7009677419354823
2000-02-01,30.482758620689655,1001.0,0.0,29,1.52,8,0,0.0,0,22,17.155172413793103,38.03448275862069,8.19334975369458
2000-03-01,41.47096774193548,729.4000000000001,0.0,31,1.53,11,0,0.0,0,15,16.54516129032258,38.29354838709677,7.8922580645161275
2000-04-01,45.64333333333333,580.7000000000002,0.0,30,2.41,14,1,0.0,0,7,19.216666666666665,41.21333333333334,-0.3130000000000024
2000-05-01,59.87096774193548,199.49999999999997,40.500000000000014,31,4.45,14,0,0.0,0,0,16.67096774193548,34.12903225806452,2.032258064516128
2000-06-01,66.68,59.49999999999999,109.9,30,5.11,16,1,0.0,0,0,16.293333333333333,40.78,-0.9744999999999919
2000-07-01,69.57741935483871,16.4,158.3,31,3.84,14,0,0.0,0,0,15.570967741935483,35.096774193548384,-2.4614516129032182
2000-08-01,69.20645161290322,14.000000000000007,144.40000000000003,31,6.48,12,2,0.0,0,0,13.419354838709678,33.23225806451613,-0.4661290322580669
2000-09-01,60.586666666666666,185.20000000000005,52.8,30,5.69,13,2,0.0,0,0,16.533333333333335,31.953333333333333,-2.0588333333333395
2000-10-01,52.58387096774193,389.7,4.799999999999997,31,1.11,7,0,0.0,0,6,14.083870967741936,36.31612903225806,2.502903225806449
2000-11-01,34.81666666666667,905.5,0.0,30,1.6199999999999999,9,0,0.0,0,20,15.676666666666668,61.480000000000004,-2.7846666666666593
2000-12-01,13.838709677419354,1586.0000000000002,0.0,31,0.37,7,0,0.0,0,31,16.741935483870968,49.74516129032258,-11.609838709677417
2001-01-01,21.970967741935485,1333.8999999999999,0.0,31,1.22,6,0,0.0,0,28,15.580645161290322,48.561290322580646,1.9654838709677414
2001-02-01,19.87857142857143,1263.3999999999999,0.0,28,1.1800000000000002,7,0,0.0,0,28,17.414285714285715,52.63928571428571,-2.410837438423645
2001-03-01,30.529032258064515,1068.6,0.0,31,1.59,7,0,0.0,0,29,15.47741935483871,46.57419354838709,-3.0496774193548397
2001-04-01,49.20333333333333,478.4,4.5,30,4.84,12,2,0.0,0,7,20.19,41.35333333333333,3.247
2001-05-01,58.196774193548386,228.80000000000004,17.89999999999999,31,9.15,21,1,0.0,0,0,15.922580645161291,45.60967741935484,0.35806451612903345
2001-06-01,66.42333333333333,88.9,131.6,30,8.67,19,1,0.0,0,0,15.22,34.38,-1.2311666666666667
2001-07-01,72.62258064516129,11.0,247.3,31,3.5500000000000003,13,1,0.0,3,0,13.493548387096775,22.187096774193552,0.583709677419364
2001-08-01,71.18709677419355,6.70000000000001,198.5,31,8.37,15,2,0.0,5,0,14.77741935483871,30.296774193548387,1.514516129032259
2001-09-01,59.54666666666667,191.10000000000002,27.5,30,6.28,12,2,0.0,0,0,16.33,38.406666666666666,-3.0988333333333387
2001-10-01,48.961290322580645,497.2,0.0,31,3.04,15,0,0.0,0,5,17.606451612903225,43.45161290322581,-1.1196774193548364
2001-11-01,45.019999999999996,599.3999999999999,0.0,30,2.42,14,0,0.0,0,8,17.27,41.343333333333334,7.418666666666667
2001-12-01,30.322580645161292,1074.9999999999998,0.0,31,2.52,7,0,0.0,0,23,16.532258064516128,52.70322580645161,4.874032258064521
2002-01-01,26.858064516129033,1182.4,0.0,31,0.91,8,0,0.0,0,28,16.380645161290325,41.52903225806452,6.852580645161289
2002-02-01,28.2,1030.4,0.0,28,1.8800000000000001,8,0,0.0,0,25,19.360714285714288,36.32857142857143,5.910591133004925
2002-03-01,27.18064516129032,1172.4,0.0,31,1.74,10,0,0.0,0,27,20.067741935483873,50.65161290322581,-6.398064516129033
2002-04-01,44.36,631.8,12.599999999999994,30,3.85,14,0,0.0,0,10,17.876666666666665,51.64666666666667,-1.5963333333333338
2002-05-01,50.99354838709677,448.00000000000006,13.799999999999997,31,3.38,11,0,0.0,0,3,17.751612903225805,40.877419354838715,-6.845161290322579
2002-06-01,66.20666666666666,99.69999999999999,135.89999999999998,30,6.07,16,1,0.0,1,0,14.476666666666667,31.16,-1.4478333333333353
2002-07-01,73.4,0.0,260.40000000000003,31,4.890000000000001,11,1,0.0,1,0,13.280645161290321,15.787096774193548,1.3611290322580771
